date,pm2_5,pm10,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,T2M,RH2M,WS10M,PRECTOTCORR,target_pm2_5_next_day,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,pm2_5_roll3,month,day_of_year
2023-01-04,105.52083333333333,153.37083333333334,72.28333333333333,57.67083333333333,61.916666666666664,174.33333333333334,8.57,58.24,2.65,0.0,152.9,144.23333333333332,192.95416666666665,114.4875,147.56944444444443,1,4
2023-01-05,152.9,221.65416666666667,100.74166666666667,75.15416666666667,49.833333333333336,188.79166666666666,8.75,59.63,2.5,0.0,156.35833333333332,105.52083333333333,144.23333333333332,192.95416666666665,134.21805555555554,1,5
2023-01-06,156.35833333333332,225.32500000000002,108.10833333333333,84.85000000000001,50.041666666666664,210.95833333333334,8.74,54.41,2.4,0.0,139.275,152.9,105.52083333333333,144.23333333333332,138.25972222222222,1,6
2023-01-07,139.275,200.98749999999998,94.89166666666667,63.73333333333333,40.416666666666664,200.75,9.69,48.08,3.25,0.0,157.2125,156.35833333333332,152.9,105.52083333333333,149.5111111111111,1,7
2023-01-08,157.2125,228.725,83.33333333333333,58.02916666666667,66.70833333333333,193.54166666666666,12.35,44.61,3.12,0.0,214.05416666666667,139.275,156.35833333333332,152.9,150.9486111111111,1,8
2023-01-09,214.05416666666667,310.45,148.17083333333332,96.57083333333333,42.541666666666664,242.20833333333334,13.14,47.41,2.57,0.0,132.9125,157.2125,139.275,156.35833333333332,170.18055555555554,1,9
2023-01-10,132.9125,193.05416666666667,94.55416666666667,56.854166666666664,45.875,232.20833333333334,12.82,53.16,3.23,0.0,139.74166666666667,214.05416666666667,157.2125,139.275,168.05972222222223,1,10
2023-01-11,139.74166666666667,203.14583333333334,94.49166666666667,66.24166666666666,67.95833333333333,186.125,13.51,64.57,2.62,0.07,97.67083333333333,132.9125,214.05416666666667,157.2125,162.23611111111111,1,11
2023-01-12,97.67083333333333,145.99583333333334,70.8875,47.737500000000004,58.5,183.95833333333334,13.82,73.58,3.02,9.38,103.20416666666667,139.74166666666667,132.9125,214.05416666666667,123.44166666666668,1,12
2023-01-13,103.20416666666667,152.32083333333333,69.07083333333334,57.42916666666667,40.75,173.91666666666666,16.43,73.27,2.64,0.09,98.48333333333333,97.67083333333333,139.74166666666667,132.9125,113.53888888888889,1,13
