Model,MAE,RMSE,R2
Baseline,15.52478250915751,22.963507026633046,0.6284562026479149
Random Forest (all features),25.2164626997164,33.297389017724925,0.4319836850800795
Linear Regression (all features),22.135159899716047,28.68495935551867,0.5780157720924226
Linear Regression (lag features),21.346220069798147,28.411180842858215,0.5860324392263299
Linear Regression (PM2.5 time features only),21.3574609576916,28.748038734292866,0.5761578109081182
Linear Regression (time features + month),24.39105141993273,32.5467789276227,0.4567449534663567
Random Forest (PM2.5 time features only),24.293735204551393,33.489387293083716,0.4248221603695358
