Model,MAE,RMSE,R2
Multi-year Baseline,13.843162393162393,20.005457539429713,0.6935693867262669
Multi-year Linear Regression,13.873231251035518,19.408332749207318,0.7619987260019501
Research Linear Regression with episode proxies,14.307366060850896,19.87055316486258,0.750527466408235
