risk_category_next_day,count,mean,min,max
High,133,73.85604636591478,60.13333333333333,89.625
Low,7,23.17083333333333,17.483333333333334,29.179166666666664
Moderate,114,48.15595760233918,30.054166666666664,59.770833333333336
Very High,110,124.4232196969697,90.23333333333333,256.73333333333335
