year,count,mean,median,min,max,std
2023,362,65.53434622467772,56.483333333333334,15.275,214.05416666666667,32.50428999597582
2024,366,65.91125910746813,53.44166666666666,19.383333333333333,187.1833333333333,36.02050726744615
2025,364,80.04737866300367,72.70625,17.483333333333334,256.73333333333335,37.58886188269563
